"ts","X (hPa)"
-5.335747917E-1,9.888773346E2
4.701242083E-1,9.888777924E2
1.473832208E0,9.888774872E2
3.500703333E0,9.888861847E2
4.504389333E0,9.888819122E2
5.508041333E0,9.888774872E2
6.511718333E0,9.888730621E2
7.515377333E0,9.888728333E2
7.869053333E0,9.888708496E2
8.939629333E0,9.888683319E2
1.001021933E1,9.888683319E2
1.108080133E1,9.888687134E2
1.215138133E1,9.888687134E2
1.322199833E1,9.888685608E2
1.429265133E1,9.888685608E2
1.536324333E1,9.888696289E2
1.643386433E1,9.888701630E2
1.750446133E1,9.888717651E2
1.857507233E1,9.888723755E2
1.964568833E1,9.888751984E2
2.071632633E1,9.888758087E2
2.178698333E1,9.888758087E2
2.285761533E1,9.888745117E2
2.392823533E1,9.888740540E2
2.499882733E1,9.888739014E2
2.606948533E1,9.888717651E2
2.714011733E1,9.888700867E2
2.821076833E1,9.888697052E2
2.928139433E1,9.888673401E2
3.035201033E1,9.888673401E2
3.142268633E1,9.888677979E2
3.249338233E1,9.888693237E2
3.356401933E1,9.888703156E2
3.463468133E1,9.888703918E2
3.570535133E1,9.888703918E2
3.677605433E1,9.888702393E2
3.784675433E1,9.888694000E2
3.891747633E1,9.888694000E2
3.998817833E1,9.888694000E2
4.105884933E1,9.888695526E2
4.212956333E1,9.888693237E2
4.320026533E1,9.888678741E2
4.427095433E1,9.888662720E2
4.534170233E1,9.888662720E2
4.641240733E1,9.888648987E2
4.748312533E1,9.888648987E2
4.855388033E1,9.888654327E2
4.962466033E1,9.888680267E2
5.069538533E1,9.888680267E2
5.176617333E1,9.888680267E2
5.283689533E1,9.888678741E2
5.390766633E1,9.888664246E2
5.497840133E1,9.888648987E2
5.604912033E1,9.888645172E2
5.711983633E1,9.888641357E2
5.819056933E1,9.888641357E2
5.926131133E1,9.888648987E2
6.033206233E1,9.888655090E2
6.140280633E1,9.888662720E2
6.247355333E1,9.888668823E2
6.354431133E1,9.888668823E2
6.461506733E1,9.888665009E2
6.568587133E1,9.888659668E2
6.675667333E1,9.888659668E2
6.782750033E1,9.888660431E2
6.889831233E1,9.888660431E2
6.996912433E1,9.888660431E2
7.103990333E1,9.888657379E2
7.211065533E1,9.888643646E2
7.318143033E1,9.888643646E2
7.425218733E1,9.888639069E2
7.532290433E1,9.888639069E2
7.639366733E1,9.888642883E2
7.746443733E1,9.888649750E2
7.853519933E1,9.888649750E2
7.960588233E1,9.888652802E2
8.067659033E1,9.888663483E2
8.174732633E1,9.888663483E2
8.281805633E1,9.888661194E2
8.388875733E1,9.888642120E2
8.495946733E1,9.888637543E2
8.603017933E1,9.888642120E2
8.710091133E1,9.888703156E2
8.817163533E1,9.888826752E2
8.924232133E1,9.889012146E2
9.031300833E1,9.889238739E2
9.138371133E1,9.889528656E2
9.245444833E1,9.889808655E2
9.352516633E1,9.890107727E2
9.459588633E1,9.890384674E2
9.566660033E1,9.890586853E2
9.673732233E1,9.890741730E2
9.780805233E1,9.890875244E2
9.887877333E1,9.890997314E2
9.994953633E1,9.891130066E2
1.010203153E2,9.891353607E2
1.020910613E2,9.891621399E2
1.031618383E2,9.891921234E2
1.042325973E2,9.892234802E2
1.053033633E2,9.892536163E2
1.063741243E2,9.892833710E2
1.074448943E2,9.893048859E2
1.085156213E2,9.893231964E2
1.095863623E2,9.893357849E2
1.106571373E2,9.893402863E2
1.117279193E2,9.893415833E2
1.127987483E2,9.893427277E2
1.138695483E2,9.893427277E2
1.149403523E2,9.893424988E2
1.160111443E2,9.893402863E2
1.170819103E2,9.893401337E2
1.181526933E2,9.893401337E2
1.192234533E2,9.893400574E2
1.202942173E2,9.893405151E2
1.213649963E2,9.893400574E2
1.224357643E2,9.893399048E2
1.235065653E2,9.893395996E2
1.245773843E2,9.893395996E2
1.256482093E2,9.893395233E2
1.267189973E2,9.893395996E2
1.277897303E2,9.893396759E2
1.288604593E2,9.893404388E2
1.299312083E2,9.893404388E2
1.310020183E2,9.893397522E2
1.320727983E2,9.893387604E2
1.331435553E2,9.893379974E2
1.342143253E2,9.893376160E2
1.352851223E2,9.893376160E2
1.363558933E2,9.893377686E2
1.374266513E2,9.893390656E2
1.384974043E2,9.893392944E2
1.395681403E2,9.893392944E2
1.406389013E2,9.893395233E2
1.417096443E2,9.893395233E2
1.427803723E2,9.893376160E2
1.438511023E2,9.893376160E2
1.449218473E2,9.893376160E2
1.459926453E2,9.893376160E2
1.470634383E2,9.893376160E2
1.481341823E2,9.893376160E2
1.492049193E2,9.893370819E2
1.502756893E2,9.893370819E2
1.513464523E2,9.893386078E2
1.524172403E2,9.893395996E2
1.534880283E2,9.893404388E2
1.545588283E2,9.893421173E2
1.556295833E2,9.893421173E2
1.567003893E2,9.893407440E2
1.577711933E2,9.893395996E2
1.588419893E2,9.893379211E2
1.599127933E2,9.893370056E2
1.609835923E2,9.893350983E2
1.620543833E2,9.893328857E2
1.631251633E2,9.893275452E2
1.641960143E2,9.893151855E2
1.652668253E2,9.892982483E2
1.663376383E2,9.892752838E2
1.674083973E2,9.892463684E2
1.684791313E2,9.892164612E2
1.695498803E2,9.891873169E2
1.706206203E2,9.891580200E2
1.716913543E2,9.891315460E2
1.727621473E2,9.891130829E2
1.738329453E2,9.890936279E2
1.749037423E2,9.890763092E2
1.759745493E2,9.890588379E2
1.770453603E2,9.890390015E2
1.781162273E2,9.890116119E2
1.791870913E2,9.889817810E2
1.802579563E2,9.889527893E2
1.813287833E2,9.889231110E2
1.823996003E2,9.888976288E2
1.834704213E2,9.888786316E2
1.845412833E2,9.888660431E2
1.856121243E2,9.888584900E2
1.866829763E2,9.888574219E2
1.877537653E2,9.888568878E2
1.888245873E2,9.888568878E2
1.898954073E2,9.888568878E2
1.909662143E2,9.888561249E2
1.920370293E2,9.888561249E2
1.931078433E2,9.888557434E2
1.941786193E2,9.888557434E2
1.952493973E2,9.888557434E2
1.963201383E2,9.888549042E2
1.973909063E2,9.888549042E2
1.984617063E2,9.888549042E2
1.995325213E2,9.888544464E2