bdaddress,x,y,height,control_number,floorname
C0:1C:4D:47:C6:17,26.30907769,7.318881137,1.4,138,FLD01
C0:1C:4D:47:6C:A4,19.99973176,9.482989894,1.4,139,FLD01
C0:1C:4D:47:8D:53,26.87220799,11.54816498,1.65,140,FLD01
C0:1C:4D:46:BB:E7,21.8883367,3.17113197,1.75,142,FLD01
C0:1C:4D:45:48:76,24.71082713,5.347799264,1.4,146,FLD01
C0:1C:4D:47:26:37,24.34620412,9.470794934,0.83,148,FLD01
C0:1C:4D:47:98:57,18.90322726,18.89419002,1.42,155,FLD01
C0:1C:4D:47:0E:CC,28.33481644,3.324828805,1.9,157,FLD01
C0:1C:4D:46:C3:67,4.664647084,18.51807457,0.94,158,FLD01
C0:1C:4D:47:EA:EB,16.9798068,3.291439076,1,159,FLD01
C0:1C:4D:44:3D:84,21.96596059,7.323515297,1.4,175,FLD01
C0:1C:4D:47:69:8E,6.891664019,8.568167918,0.85,178,FLD01
C0:1C:4D:47:37:5A,28.26461328,13.44535877,1.6,181,FLD01
C0:1C:4D:47:74:F1,22.41324023,14.07079493,1.6,184,FLD01
C0:1C:4D:46:D2:56,19.11173345,15.11735273,1.86,192,FLD01
C0:1C:4D:46:5C:3F,7.154563719,3.180155679,0.9,194,FLD01
C0:1C:4D:44:51:7E,4.405155305,5.425619568,0.9,195,FLD01
C0:1C:4D:44:45:F3,11.21324023,18.87079493,1.19,199,FLD01
C0:1C:4D:44:53:45,17.49983301,10.21212494,0.9,200,FLD01
C0:1C:4D:46:43:37,6.885871618,14.07079493,0.85,201,FLD01
C0:1C:4D:47:31:58,2.613282327,16.33734934,1.6,226,FLD01
C0:1C:4D:44:67:A8,2.398585629,10.46174255,1.5,238,FLD01
C0:1C:4D:46:12:59,2.402302905,3.951523089,2,246,FLD01
C0:1C:4D:47:1C:BF,5.126748697,22.2265157,1.7,247,FLD01
C0:1C:4D:46:79:7B,16.20730384,22.77718748,1.7,249,FLD01
C0:1C:4D:44:71:B8,15.7821898,20.69248462,2,252,FLD01
C0:1C:4D:47:97:83,13.51324023,22.37079493,2,256,FLD01
C0:1C:4D:46:73:A4,11.44567995,13.06037603,0.3,258,FLD01
C0:1C:4D:46:9C:91,7.834458708,25.63401462,1.7,259,FLD01
C0:1C:4D:45:A1:EF,12.006486,7.399125378,0.85,260,FLD01
C0:1C:4D:45:2C:02,12.35245212,2.155972958,1.4,261,FLD01
C0:1C:4D:45:EA:E6,13.49213326,11.78952461,1.95,120,FLU01
C0:1C:4D:45:D6:7F,24.30539994,17.41559356,0.58,122,FLU01
C0:1C:4D:46:28:F2,13.65727353,16.84995426,1,123,FLU01
C0:1C:4D:46:EE:85,18.8,16.8,1.86,127,FLU01
C0:1C:4D:45:95:98,24.00432196,8.826130075,1.5,128,FLU01
C0:1C:4D:44:1A:A6,13.6444538,5.40018944,1.86,130,FLU01
C0:1C:4D:44:7F:46,19.08757013,4.413786804,1.91,133,FLU01
C0:1C:4D:47:C6:F6,30.21039571,16.68120124,0.63,135,FLU01
C0:1C:4D:46:8E:2E,20.61262814,6.725152562,1.2,141,FLU01
C0:1C:4D:44:0F:6C,18.74212335,10.90395336,1.2,145,FLU01
C0:1C:4D:47:B7:9E,16.06883453,6.372785637,1.22,147,FLU01
C0:1C:4D:45:55:02,21.36954797,13.56522601,1.2,149,FLU01
C0:1C:4D:44:6F:F0,26.94022167,12.72136676,1.05,151,FLU01
C0:1C:4D:45:B4:64,24.28545245,10.90531029,1.07,153,FLU01
C0:1C:4D:47:F2:FA,24.2,20.6,0,163,FLU01
C0:1C:4D:47:A8:8E,43.9777731,4.511176596,1.96,213,FLU01
C0:1C:4D:46:84:EB,37.04695133,4.6,1.89,217,FLU01
C0:1C:4D:46:0B:63,25.43747937,8.414466839,1.75,218,FLU01
C0:1C:4D:44:D1:F4,29.97038311,4.524210463,1.96,219,FLU01
C0:1C:4D:46:13:41,31.58767106,5.844291686,2,221,FLU01
C0:1C:4D:45:04:52,23.92128732,3.964318312,1.6,222,FLU01
C0:1C:4D:44:20:6B,36.46954609,3.877575856,1.6,223,FLU01
C0:1C:4D:46:05:C9,45.3648955,3.875183422,1.6,224,FLU01
C0:1C:4D:47:67:94,36.7029682,8.174542254,1,227,FLU01
C0:1C:4D:44:57:25,13.13561835,6.736986824,1.57,229,FLU01
C0:1C:4D:44:92:10,12.27856056,12.15007606,1.56,233,FLU01
C0:1C:4D:47:D5:8C,10.45494061,10.92685269,0.88,235,FLU01
C0:1C:4D:47:CF:0A,29.46805456,10.51001622,1.98,243,FLU01
C0:1C:4D:46:C1:DB,27.92651509,8.166287724,1.6,254,FLU01
C0:1C:4D:44:EA:96,18.3,8.656582104,0.95,57,FLU01
C0:1C:4D:47:C8:BD,41.18386452,7.686491532,1.44,68,FLU01
C0:1C:4D:44:35:40,37.09385056,17.12847695,1.46,71,FLU01
C0:1C:4D:47:17:D0,13.71427265,13.49954263,1.78,73,FLU01
C0:1C:4D:45:9B:83,21.81243128,4.42691325,1.5,74,FLU01
C0:1C:4D:44:32:56,43.5,10.6,1.75,84,FLU01
C0:1C:4D:46:4B:57,41.88215944,17.08659278,1.23,88,FLU01
C0:1C:4D:47:0E:9D,28.47145471,20.64272647,1.15,91,FLU01
C0:1C:4D:47:40:A3,36.47163766,10.5003659,2.07,94,FLU01
C0:1C:4D:46:91:A3,25.4739785,7.171770025,1.65,101,FLU02
C0:1C:4D:45:71:EB,29.80160039,4.384425055,1.6,105,FLU02
C0:1C:4D:45:88:C4,33.78617924,4.536589469,1.7,108,FLU02
C0:1C:4D:44:A3:F3,11.55386767,3.936610517,2.318,109,FLU02
C0:1C:4D:45:01:97,12.39722954,1.414278373,0.88,119,FLU02
C0:1C:4D:44:2B:DB,25.54180963,1.642125145,1.57,129,FLU02
C0:1C:4D:46:C5:CF,2.61442582,1.353348799,0.92,202,FLU02
C0:1C:4D:45:77:A5,7.609468184,1.36286914,0.96,203,FLU02
C0:1C:4D:45:B6:2E,12.46037498,14.16931827,0.85,204,FLU02
C0:1C:4D:44:D8:75,2.336771593,7.429745409,0.93,205,FLU02
C0:1C:4D:45:66:15,7.571781748,14.16703692,0.89,209,FLU02
C0:1C:4D:45:0C:3C,18.00007105,13.96437309,2.35,210,FLU02
C0:1C:4D:44:38:4E,12.6647168,17.41680177,2,212,FLU02
C0:1C:4D:45:54:C1,18.45288099,16.38083278,2.37,216,FLU02
C0:1C:4D:44:D0:6E,14.23067514,17.69758715,2,228,FLU02
C0:1C:4D:45:49:F3,2.336771593,13.91526743,0.83,255,FLU02
C0:1C:4D:46:65:E0,17.11398391,3.003270168,1.64,51,FLU02
C0:1C:4D:45:E8:41,10.45294704,11.00727592,0.92,52,FLU02
C0:1C:4D:44:18:2A,6.275086838,10.91483093,0.95,60,FLU02
C0:1C:4D:44:A7:5D,6.255480138,5.336589469,0.95,61,FLU02
C0:1C:4D:46:10:10,10.46271823,5.251246244,0.92,62,FLU02
C0:1C:4D:46:EC:8F,16.07504474,8.119919294,1.93,63,FLU02
C0:1C:4D:47:E2:F3,33.77506579,11.79171469,1.3,64,FLU02
C0:1C:4D:45:69:3C,16.08062251,4.642146193,1.87,75,FLU02
C0:1C:4D:46:06:9B,19.95839561,7.503270168,1.7,77,FLU02
C0:1C:4D:46:C0:43,14.38624239,11.19215672,0.82,79,FLU02
C0:1C:4D:44:61:AB,17.03063304,11.50329122,2.26,83,FLU02
C0:1C:4D:47:B1:2D,38.63063304,10.06999296,1.6,96,FLU02